"PSRJ","Mode","W10"
"J1537-4912","Od","16"
"J1537-5153","Od","7"
"J1538+2345","Od?","11"
"J1539-6322","Xd?Od?","18"
"J1542-5303","Xd?","16"
"J1543-0620","Os","5"
"J1543-5459","Os","8"
"J1548-4927","Od?","8"
"J1548-5607","Xs","5"
"J1549-4848","Xs","4"
"J1550-5242","Xs","6"
"J1555-2341","Xs","6"
"J1555-3134","OXO?","13"
"J1558-5756","Xs?","2"
"J1559-4438","Xs","4"
"J1600-5044","Xs?","4"
"J1600-5751","OXO","8"
"J1601-5335","Xs?","5"
"J1602-5100","OXO","7"
"J1603-2531","Os?","4"
"J1603-2712","Xs","6"
"J1603-5657","Xs","2"
"J1604-4909","OXO","10"
"J1604-7203","OXO?","15"
"J1605-5257","Xd?","32"
"J1610-5006","Os","25"
"J1611-4949","Os","11"
"J1611-5847","Xs","2"
"J1612+2008","O(d)?","7"
"J1612-5805","O(d)?","5"
"J1614+0737","Os?","4"
"J1614-3937","Xd","9"
"J1614-5048","Os","9"
"J1614-5144","Os","11"
"J1615-5537","Xd","5"
"J1616-5017","Xs","4"
"J1617-4216","Os","7"
"J1617-4608","Xs","3"
"J1618-4723","Xd","10"
"J1621-5039","Xd?","14"
"J1622-3751","Od","10"
"J1622-4332","Od","12"
"J1622-4347","Xd","6"
"J1622-4802","Xs","12"
"J1622-4950","Os","83"
"J1623-0908","Xs?","3"
"J1624-4411","Od?","5"
"J1625-4048","OXO?","23"
"J1626-4537","Os","7"
"J1626-6621","OX(O)","9"
"J1627-5936","Xd?","51"
"J1630-4719","Os?","5"
"J1632-1013","Od","7"
"J1632-4621","Xs","7"
"J1632-4818","Xs","20"
"J1633-4453","Xs","6"
"J1635-4944","Xs?","13"
"J1635-5954","OXO?","12"
"J1636-2614","Xs","4"
"J1637-4642","Od","13"
"J1638-3815","Od","23"
"J1638-3951","Od","12"
"J1638-4344","Od","14"
"J1639-4604","Os?","7"
"J1643-4505","Xs","5"
"J1644-4559","Xs","4"
